Country,GDP per capita,Life satisfaction
Russia,8664.055,6.0
Mexico,8958.503,6.6
Turkey,9969.499,5.5
Hungary,12239.133999999998,5.3
Chile,13266.086000000001,6.7
Slovak Republic,17439.162,6.1
Czech Republic,18104.593,6.6
Greece,18873.314,5.2
Estonia,19349.988999999998,5.6
Portugal,20347.961,5.2
Slovenia,22071.742000000002,5.8
Korea,27023.236,5.9
Spain,27920.811,6.4
Italy,30995.478,5.9
Japan,35793.706,5.9
Israel,36524.492,7.2
New Zealand,37679.186,7.3
France,39126.348,6.4
Belgium,41595.951,6.9
Canada,41921.352999999996,7.3
Germany,43269.77099999999,7.0
United Kingdom,43699.555,6.7
Finland,43832.255,7.5
Austria,46316.64599999999,7.0
Netherlands,46594.047999999995,7.4
Australia,50795.304000000004,7.3
Sweden,52108.708,7.3
Denmark,55068.224,7.5
Ireland,57219.598,7.0
United States,58952.025,6.9
Luxembourg,108004.903,6.9
